"osm_id","name","amenity"
30312225,"Consolata School","school"
674552830,NA,NA
1399125354,"Galitos restaurant","school"
1764153756,"Makini Schools","school"
1867185524,"Bohra Primary School","school"
2061462027,NA,NA
2061462030,NA,NA
2061462031,NA,NA
2061462033,NA,NA
2468180197,NA,NA
2468180199,NA,NA
2468180201,NA,NA
2468180203,NA,NA
2468180205,NA,NA
2468180207,NA,NA
2468180209,NA,NA
2468180211,NA,NA
2468180213,NA,NA
2468180215,NA,NA
2468189973,NA,NA
2468189975,NA,NA
2468189978,NA,NA
2468189979,NA,NA
2483120528,NA,NA
2483120529,NA,NA
2483120530,NA,NA
2483120531,NA,NA
2483120532,NA,NA
2483120533,NA,NA
2483120534,NA,NA
2483120535,NA,NA
2483120536,NA,NA
2483120537,NA,NA
2483120538,NA,NA
2483120539,NA,NA
2483120540,NA,NA
2483120541,NA,NA
2483120542,NA,NA
2484528096,NA,NA
2484528098,NA,NA
2484532836,NA,NA
2484532841,NA,NA
2484532844,NA,NA
2484532847,NA,NA
2484532850,NA,NA
2484532854,NA,NA
2484532857,NA,NA
2484532860,NA,NA
2484532862,NA,NA
2484533946,NA,NA
2484533947,NA,NA
2484533948,NA,NA
2484533949,NA,NA
2484533950,NA,NA
2484533951,NA,NA
2484533952,NA,NA
2484533953,NA,NA
2491660139,NA,NA
2491660140,NA,NA
2491660141,NA,NA
2491660142,NA,NA
2491660143,NA,NA
2491790080,NA,NA
2491790081,NA,NA
2491790082,NA,NA
2491790083,NA,NA
2499024984,NA,NA
2499024985,NA,NA
2499024986,NA,NA
2499024987,NA,NA
2546351658,NA,NA
2546351660,NA,NA
2546351662,NA,NA
2546351663,NA,NA
2546351665,NA,NA
2687961610,"Logos Christian School","school"
2875798610,"Kiota School","school"
3181899962,NA,NA
3181900041,NA,NA
3797942363,NA,NA
3797942364,NA,NA
3797942366,NA,NA
3797942369,NA,NA
3797942375,NA,NA
3797942376,NA,NA
3797942377,NA,NA
3797942378,NA,NA
3797942379,NA,NA
3797942380,NA,NA
3797942382,NA,NA
3797942387,NA,NA
4192570231,NA,NA
4192570232,NA,NA
4192570233,NA,NA
4192570234,NA,NA
4192570235,NA,NA
4192570236,NA,NA
4192570237,NA,NA
4192570238,NA,NA
4192570239,NA,NA
4192570240,NA,NA
4192570241,NA,NA
4192570242,NA,NA
4192570243,NA,NA
4192570244,NA,NA
4192570298,NA,NA
4192570299,NA,NA
4192570300,NA,NA
4192570301,NA,NA
4193917220,NA,NA
4193917221,NA,NA
4193917222,NA,NA
4193917223,NA,NA
4193917224,NA,NA
4193917225,NA,NA
4193917226,NA,NA
4193917227,NA,NA
4843663614,"Makini Primary School","school"
4843663615,"Makini Secondary School","school"
4994970182,NA,NA
4994970183,NA,NA
4994970184,NA,NA
4994970185,NA,NA
4994970186,NA,NA
4994970187,NA,NA
5327988317,"Imani Montessori School","school"
5327992069,NA,"school"
5328845942,NA,NA
5328845943,NA,NA
5328845944,NA,NA
5328845945,NA,NA
5328845946,NA,NA
5328845947,NA,NA
5328845948,NA,NA
5328845949,NA,NA
5328845950,NA,NA
5328845951,NA,NA
5328845952,NA,NA
5328845953,NA,NA
5328845954,NA,NA
5328845955,NA,NA
5328845956,NA,NA
5328845957,NA,NA
5328845958,NA,NA
5328845959,NA,NA
5328845960,NA,NA
5328845961,NA,NA
5329314557,NA,NA
5329314558,NA,NA
5329314559,NA,NA
5329314560,NA,NA
5329314561,NA,NA
5329314562,NA,NA
5329314563,NA,NA
5329314564,NA,NA
5333172575,"Muthangari Primary School","school"
5333175502,"St. Austin's Academy Secondary School","school"
5333179718,"Shani Angaza School","school"
5333182252,"Lavington Secondary School","school"
5333183070,"Lavington Primary School","school"
5333209252,NA,NA
5333209253,NA,NA
5333209254,NA,NA
5333230312,NA,NA
5333230313,NA,NA
5333230314,NA,NA
5333230315,NA,NA
5333230316,NA,NA
5333230317,NA,NA
5333295388,"Gifted Hands School","school"
5333295389,"Amicus School","school"
5333296837,"Rudan Junior Academy","school"
5334960757,NA,NA
5339089383,NA,NA
5339089384,NA,NA
5339106869,"Lavington United Church Academy","school"
5339117803,NA,NA
5339117804,NA,NA
5339117805,NA,NA
5339117806,NA,NA
5414280529,NA,NA
5414280530,NA,NA
5414280531,NA,NA
5414280532,NA,NA
5414280533,NA,NA
5414280534,NA,NA
5414280535,NA,NA
5414280559,NA,NA
5440491074,NA,NA
5440491075,NA,NA
5440491076,NA,NA
5456668645,"Bambini, Montessori School","school"
5456734642,"Compuera Academy","school"
5933721654,"Msingi Bora Academy","school"
5933721655,"Msingi Bora Academy","school"
5933721656,"Msingi Bora Academy","school"
5933721657,"Redempter School","school"
5933721658,"Redempter School","school"
5933721703,"Ananda Marga Academy","school"
5933721704,"Ananda Marga Academy","school"
5933721705,"Kanyorosha Self Help School","school"
5933721706,"Kanyorosha Self Help School","school"
5933721707,"Hamomi School","school"
5933721708,"Blessings Junior Academy","school"
5933721709,"Excel School","school"
5933721710,"Excel School","school"
5933721713,"Ananda Marga Academy","school"
5933721714,"Bueno Kids Kindergarten","school"
5933721718,"Young Achievers Academy","school"
5933721719,"Young Achievers Academy","school"
5948170931,"Lucky Star Centre Shool","school"
5948174097,"Waruku Pre-primary School","school"
5948174098,"Shani Nyota School","school"
5948174099,"Shani Taji School","school"
5948174102,"Kianda School","school"
5948174107,"Waruku Primary School","school"
5948282114,"Overseer's Educational Center","school"
5948282115,"Overseer's Education Center","school"
5948282116,"Five Star Academy","school"
5948282117,"Five Star Academy","school"
5948282118,"Kangemi Youth Centre","school"
