"osm_id","longitude","latitude"
30312225,36.8040596,-1.2674856
674552830,36.7973407,-1.2596897
1399125354,36.7707718,-1.2903252
1764153756,36.7687733,-1.2960508
1867185524,36.7906608,-1.2585154
2061462027,36.7789864,-1.2645748
2061462030,36.7795976,-1.2652267
2061462031,36.7788949,-1.2650873
2061462033,36.7797052,-1.264725
2468180197,36.7940754,-1.282812
2468180199,36.7963821,-1.282147
2468180201,36.7975462,-1.2826994
2468180203,36.7975247,-1.2832786
2468180205,36.7972136,-1.2832464
2468180207,36.7971117,-1.2835735
2468180209,36.7961997,-1.2834555
2468180211,36.7956708,-1.2846042
2468180213,36.7939504,-1.2842042
2468180215,36.7941458,-1.2837299
2468189973,36.7864433,-1.2814064
2468189975,36.7869337,-1.2822246
2468189978,36.7875557,-1.2818096
2468189979,36.7871655,-1.280941
2483120528,36.7553826,-1.2888117
2483120529,36.7553836,-1.2890266
2483120530,36.7558769,-1.2890244
2483120531,36.7558762,-1.288871
2483120532,36.7562395,-1.2888693
2483120533,36.7562389,-1.2887316
2483120534,36.7558036,-1.2887336
2483120535,36.755804,-1.2888098
2483120536,36.7546564,-1.2892602
2483120537,36.7564856,-1.2893192
2483120538,36.7565259,-1.2877344
2483120539,36.7559948,-1.2877049
2483120540,36.7558392,-1.2878229
2483120541,36.7548763,-1.2888848
2483120542,36.754541,-1.289228
2484528096,36.7966936,-1.2595952
2484528098,36.7976485,-1.2597346
2484532836,36.7754957,-1.2689536
2484532841,36.777949,-1.2682633
2484532844,36.7779007,-1.2691375
2484532847,36.7785391,-1.2693038
2484532850,36.7783191,-1.2696309
2484532854,36.7778149,-1.271331
2484532857,36.7768332,-1.2710843
2484532860,36.7753848,-1.2709556
2484532862,36.7755434,-1.2694181
2484533946,36.7655188,-1.2870263
2484533947,36.7655556,-1.2875973
2484533948,36.7647168,-1.2877229
2484533949,36.7647517,-1.2870748
2484533950,36.7646975,-1.2877327
2484533951,36.7647351,-1.2878721
2484533952,36.764958,-1.2877982
2484533953,36.7649097,-1.2876581
2491660139,36.7835731,-1.2924802
2491660140,36.7847345,-1.2924373
2491660141,36.784866,-1.2936896
2491660142,36.7839996,-1.2937271
2491660143,36.7836539,-1.2935053
2491790080,36.7822067,-1.2572737
2491790081,36.7841861,-1.25744
2491790082,36.7840064,-1.2591509
2491790083,36.7820256,-1.258888
2499024984,36.7545827,-1.2895529
2499024985,36.7545928,-1.2899155
2499024986,36.7540843,-1.2902743
2499024987,36.7542115,-1.2895535
2546351658,36.7900236,-1.2760198
2546351660,36.7901524,-1.2759501
2546351662,36.7908551,-1.2759072
2546351663,36.7925184,-1.2765642
2546351665,36.7916383,-1.2773874
2687961610,36.808515,-1.2761011
2875798610,36.7971489,-1.2862694
3181899962,36.7921531,-1.2763787
3181900041,36.7941496,-1.2832957
3797942363,36.7821066,-1.2583619
3797942364,36.7821898,-1.2584665
3797942366,36.7825519,-1.258578
3797942369,36.7825519,-1.2585791
3797942375,36.7824889,-1.2585694
3797942376,36.7824955,-1.2585094
3797942377,36.7824634,-1.2587775
3797942378,36.7824887,-1.2585705
3797942379,36.7825706,-1.2584263
3797942380,36.7820422,-1.2588097
3797942382,36.782525,-1.2588687
3797942387,36.7821522,-1.2587346
4192570231,36.7610514,-1.263128
4192570232,36.7625182,-1.2628871
4192570233,36.7638676,-1.2626134
4192570234,36.7643366,-1.2625166
4192570235,36.7647271,-1.2623829
4192570236,36.7652686,-1.2621153
4192570237,36.7662623,-1.2615567
4192570238,36.7671615,-1.261003
4192570239,36.767783,-1.260681
4192570240,36.7682587,-1.2604881
4192570241,36.7687446,-1.2602967
4192570242,36.7695472,-1.2601087
4192570243,36.7707673,-1.2598588
4192570244,36.7704062,-1.2580673
4192570298,36.7752005,-1.2680954
4192570299,36.7754012,-1.2685351
4192570300,36.776078,-1.2682196
4192570301,36.7761536,-1.2675778
4193917220,36.7806169,-1.2959644
4193917221,36.7818189,-1.2959063
4193917222,36.7817461,-1.2942348
4193917223,36.7813363,-1.2942718
4193917224,36.7813317,-1.2941301
4193917225,36.7812578,-1.2941378
4193917226,36.7812564,-1.2939277
4193917227,36.7805409,-1.2939738
4843663614,36.7686975,-1.2955181
4843663615,36.7677372,-1.2953572
4994970182,36.7986709,-1.2881453
4994970183,36.7986975,-1.2880367
4994970184,36.798904,-1.2880873
4994970185,36.7989262,-1.2879965
4994970186,36.7991261,-1.2880454
4994970187,36.7990773,-1.2882448
5327988317,36.7725243,-1.2704026
5327992069,36.7743101,-1.2717053
5328845942,36.8092278,-1.2818246
5328845943,36.8081764,-1.2821839
5328845944,36.8081174,-1.282613
5328845945,36.807259,-1.2825218
5328845946,36.8071088,-1.2831117
5328845947,36.8066797,-1.283825
5328845948,36.8074683,-1.2851283
5328845949,36.8089864,-1.2850103
5328845950,36.8101129,-1.2852355
5328845951,36.8114165,-1.285745
5328845952,36.8121621,-1.2846778
5328845953,36.8118832,-1.2844096
5328845954,36.8116418,-1.2839913
5328845955,36.8116364,-1.2836266
5328845956,36.811674,-1.2835622
5328845957,36.8116579,-1.2831707
5328845958,36.8111912,-1.2831064
5328845959,36.8106494,-1.2829133
5328845960,36.8102738,-1.2827095
5328845961,36.8097428,-1.2822966
5329314557,36.7782744,-1.2938925
5329314558,36.7782198,-1.2927011
5329314559,36.7789935,-1.2926657
5329314560,36.7790481,-1.2938571
5329314561,36.7791794,-1.2926804
5329314562,36.7803382,-1.2926321
5329314563,36.7804025,-1.2939407
5329314564,36.7792492,-1.2939782
5333172575,36.770708,-1.2701596
5333175502,36.7711321,-1.2740573
5333179718,36.7732583,-1.2769307
